＃,Japanese,English,French,German
111,厚膜型塗料,high build paint,peinture epaisse (f),Hochaufbau-Anstrich (m)
112,圧密［土の］,consolidation,consolidation (f),"Konsolidierung (f), Festigung (f), Kompaktwerden (n), Konsolidation (f), Verdichtung (f)"
113,圧密排水試験［土の］,consolidated drained shear test,test cisaillement consolide draine (m),konsolidierter drainierter Scherversuch (m)
114,圧密非排水試験,consolidated undrained shear test,test cisaillement consolide non draine (m),konsolidierter undrainierter Scherversuch (m)
115,圧力球根［地盤の］,pressure bulb,bulbe des pressions (m),Druckzwiebel (f)
116,圧力勾配,pressure gradient,gradient de pression (m),Druckgradient (m)
117,圧力試験,pressure test,"essai de compression (m), essai a la compression (m)",Druckprobe (f)
118,圧力スイッチ,pressure switch,"interrupteur manometrique (m), interrupteur a pression (m), manocontacteur (m)",Druckluftschalter (m)
119,圧力センサー,"pressure sensor, pressure transducer",dispositif multiplicateur de pression (m),"Drucksensor (m), Druckumformer (m)"
120,圧力調整弁［ブレーキの］,pressure regulating valve,soupape de reglage de pression (f),"Druckregulierventil (n), Druckregelventil (n)"
121,圧力抵抗,pressure drag,trainee de pression (f),Druckwiderstand (m)
122,圧力波,pressure wave,onde de pression (f),Druckwelle (f)
123,圧力ばめ,press fitting,assemblage de presse (m),Presssitz (m)
124,圧力変換器,pressure transducer,transducteur de pression (m),"Druck-Messwertwandler (m), Druckubersetzer (m)"
125,圧力変動［列車通過時の］,pressure variation,variation de pression (au moment du passage du train) (f),Druckschwankung (wahrend der Vorbeifahrt des Zuges) (f)
126,圧力変動［トンネル内の］,pressure change,variation de pression (f),Druckanderung (f)
127,ATOS,Autonomous decentralized transport operation control system,controle des operations de transport autonome decentralise (m),autonomes dezentrales Verkehrsbetriebssteuerungssystem (n)
128,アドヒージョンテスト［塗装の］,pull-off test for adhesion,test d’arrachement pour l’adherence (m),Abreisversuch von Adhasion (m)
129,後補機運転,assisting in rear operation,locomotive de renfort en queue de train (f),"Hilfslokomotive am Zugschlus (f), Hilfslok am Zugschlus (f)"
130,孔開き鋼板ジベル,perfobond strip,bande perfobond (f),Perfobond-Streifen (pl)
131,アナログ指令式［ブレーキの］,analog dispatcher system,systeme de regulation analogique (m),analoges Dispatchersystem (n)
132,アバット［橋の］,abutment,culee (f),"Widerlager (n), Wehrwange (f), Landpfeiler (m), Widerlagemauer (f)"
133,アバットメント［橋の］,abutment,culee (f),"Widerlager (n), Wehrwange (f), Landpfeiler (m), Widerlagemauer (f)"
134,あばら鉄筋,stirrup,"etrier (m), armature de cisaillement (f)","Bugel (m), Schubbewehrung (f)"
135,アフタークーラー,after cooler,refroidisseur d’air (m),Nachkuhler (m)
136,アプト式機関車,Abt locomotive,locomotive Abt (f),Abt-Lokomotive (f)
137,アプト式鉄道,Abt system railway,chemin de fer du systeme Abt (m),Abt-Eisenbahn (f)
138,油切り［車軸軸受の］,seal wear ring，oil thrower,deflecteur d’huile (m),Olspritzring (m)
139,油遮断器,"oil circuit breaker, OCB",coupe-circuit a huile (m),Olschalter (m)
140,油消耗率,oil decreasing rate,taux d’huile decroissant (m),Olabnahmerate (f)
141,油分離,bleeding,separation de l’huile (f),Ol-Trennung (f)
142,油分離器［空気回路の］,oil separator,separateur d’huile (m),Olabscheider (m)
143,油分離率,bleeding rate,taux de separation de l’huile (m),Oltrennungsrate (f)
144,アプローチケーブル,approach cable,cable d’approche (m),Zugang Kabel (n)
145,アプローチブロック［盛土の］,approach block,bloc d’approche (m),Annaherungsblock (m)
146,アベイラビリティ,availability,disponibilite (f),Verfugbarkeit (f)
147,雨どい［車両の］,"gutter, rain water gutter, rain（-）strip",caniveau (m),Dachrinne (f)
148,余部事故,Amarube accident,accident en Amarube (m),Amarube-Unfall (m)
149,アーマロッド,armor rod,blindage (m),Schutzspirale (f)
150,Amtrak,National Railroad Passenger Corporation,Societe nationale des transports ferroviaires de voyageurs,National Railroad Passenger Corporation (AMTRAK)
151,あや構,lateral bracing,renforcement lateral (m),seitliche Verankerung (f)
152,歩み板［車両の］,running board,tablier (m),"Laufblech (n), Laufbrett (n), Umlauf (m)"
153,あらさ［車輪踏面の］,roughness,rugosite (f),Rauigkeit (n)
154,ALARP,as low as reasonably practicable,ALARP,so niedrig wie vernunftig praktikabell
155,アラミド繊維,aramid fiber,fibre d’aramide (f),Aramid-Faser (f)
156,RI法［土の］,radio isotope method,methode radio-isotope (f),Radioisotop-Methode (f)
157,REBCO系超電導体,"REBCO system superconductors, ReBaCuO",supraconducteur de REBCO (m),"ReBCO-System-Supraleiter (m), ReCaCuO"
158,RSSB,Rail Safety and Standards Board,Surete ferroviaire (f) et Conseil des normes (m),Behorde fur Eisenbahnsicherheit und Normen (f)
159,RS-ATC,digital radio communication & control for Shinkansen ATC,communication et commande numerique Radio pour Shinkansen ATC (f),Digitalfunk (m)& Steuerung (f) fur Shinkansen ATC
160,RH,relay house,cabine de relais (f),Relaishaus (n)
161,RMS電流［電気車の］,"root mean square current, RMS current","courant efficace (m), intensite efficace (f)","Effektivwert Strom (m), Effektivstrom (m), Wurzelmittelquadratstrom (m)"
162,Rガイド,circular motion bearing guide,guide de roulement a mouvement circulaire (m),Lagerfuhrung in kreisformiger Bewegung
163,アルカリイオン吸着剤,alkali ion adsorbent,adsorbant d’ions alcalins (m),Alkali-Ionadsorber (m)
164,アルカリ骨材反応,alkali-aggregate-reaction,reaction alcali-agregats (f),Alkali-Aggregat-Reaktion (f)
165,アルカリ・シリカ反応性試験法［コンクリートの］,method of test for alkali-silica reactivity,methode de test de reactivite alcali-silica (f),Methode der Prufung fur Alkali-Silicat-Reaktivitat (f)
166,RQD［岩盤の］,rock quality designation,designation de la qualite de roche (f),"Qualitatsbezeichnung, des Steins (f)"
167,RC［信号の］,remote control,"commande a distance (f), manoeuvre a distance (f), telecommande (f)","Fernbedienung (f), Fernbetatigung (f), Fernsteuerung (f), Fernlenkung (f)"
168,RC橋,reinforced concrete bridge,pont en beton arme (m),verstarkte konkrete Brucke (f)
169,RC杭,reinforced concrete pile,pieu en beton arme (m),Stahlbetonpfahl (m)
170,RCまくらぎ,"reinforced concrete tie, reinforced concrete sleeper","traverse en beton arme (f), traverse en beton (f)","Stahlbetonschwelle (f), Betonschwelle (f)"
171,アルストム式,Alsthom type,guide Alsthom (m),Alsthom-Typ (m)
172,R接点,reverse-contact,contact d’inversion (m),Umkehrpunkt (m)
173,RZ長短符号,return to zero long and short code,code de retour a zero long et court (m),RZ（return to zero）-Lang- und Kurzcode (m)
174,RZ符号,return to zero code,code de retour au zero (m),Ruckkehr zum Null-Code (m)
175,RPC［変電所の］,railway static power conditioner,conditionneur statique d’alimentation de la catenaire (m),statische Leistungsaufarbeitungseinrichtung der Bahn (f)
176,アルミ合金［車両における］,aluminum alloy,alliage d’aluminium (m),Aluminium-Legierung (f)
177,アルミシース［ケーブルの］,aluminum sheathing,gainage d’aluminium (m),"Aluminium-Umhullung (f), Aluminium-Ummantelung (f)"
178,アルミシースケーブル,aluminum sheathed cable,cable gaine d’aluminium (m),Aluminiummantelkabel (n)
179,アルミ中空押出形材［車両の］,"hollow extrusion of aluminum alloy, hollow extruded aluminum alloy",extrusion creuse d’alliage d’aluminium (f),"Hohlextrusion der Aluminiumlegierung (f), hohlextrudierte Aluminiumlegierung (f)"
180,アルミディスク［ブレーキの］,aluminum brake disk（disc）,disque de frein en aluminium (m),Bremsscheibe aus Aluminium (f)
181,アルミ複合材,aluminum matrix composite,composites a matrices d’aluminium（fpl）,Aluminium-Einlagerungsverbundwerkstoff (m)
182,アルミ複合材ディスク［ブレーキの］,aluminum composite materials brake disk（disc）,disque de frein en materiaux composites d’aluminium (m),Bremsscheibe aus Aluminiumverbundstoffen (f)
183,アレイ式指向性マイクロホン,（linear）microphone array,systeme de microphones directionnels (lineaire) (m),（lineare) Mikrophon-Array (n)
184,アレスター［電力系の］,surge arrester,Parafoudre de saut (f),"Uberspannungsableiter (m), Uberspannungsschutz (m)"
185,泡立ち性［潤滑油の］,foaming tendency,"tendance a mousser (f), tendance a ecumer (f)","Neigung zur Schaumbildung (f), Schaumneigung (f)"
186,アンカー［構造物の］,anchor,"anticheminant (m), arret de cheminement (m), dispositif anticheminant (m)","Anker (m), Wanderschutz (m), Wanderschutzklemme (f)"
187,アンカー［剛体電車線の］,anchor,"anticheminant (m), dispositif anticheminant (m)","Wanderschutz (m), Wanderschutzklemme (f)"
188,アンカーイヤー［電車線の］,anchor ear,griffe d’ancrage (f),Ankerohr (n)
189,アンカー装置［超電導磁気浮上式鉄道の］,anchor,"anticheminant (m), arret de cheminement (m), dispositif anticheminant (m)",Wanderschutz (m)
190,アンカープレート［レール締結装置の］,anchor plate,"support de frein (m), plateau support de segments (m), plateau support de segments de frein (m)",Bremsankerplatte (f)
191,アンカーフレーム,anchor frame,cadre d’ancrage (m),Ankerrahmen (m)
192,アンカーボルト［レール締結装置の］,anchor bolt,boulon anticheminant (m),Ankerbolzen
193,アンカーボルト基礎,anchor-bolt foundation,fondation a boulons d’ancrage (f),Anker-Riegelfundament (n)
194,暗きょ,"culvert, closed conduit, drainage conduit","ponceau (m), passage de buse (m), aqueduc enterre (m)","Abzugskanal (m), Wasserdurchlas (m), Rinnstein (m), Ablaufkanal (m), Wasserablas (m), Durchlas (m)"
195,安全側故障,right-side failure,defaillance cote securite (f),Ausfall zur sicheren Seite (m)
196,安全監視システム,safety observation system,systeme de supervision de la securite (m),Sicherheitsuberwachungssystem (n)
197,安全関連伝送,safety related transmission,Transmission Relatives a la Securite (f),Sicherheitsubertragung (f)
198,安全係数,safety factor,coefficient de securite (m),"Sicherheitsgrad (m), Sicherheitskoeffizient (m)"
199,安全柵,safety fence,"barriere de protection (f), barriere de securite (f), garde-corps de protection (m)","Schutzgelander (n), Fusganger-Schutzgelander (n)"
200,安全性,safety,securite (f),Sicherheit (f)
201,インテグリティレベル,"safety integrity level, SIL",niveau d’integrite de securite (SIL) (m),"Sicherheitsintegritatsebene (f), SIL"
202,安全性解析,safety analysis,analyse de securite (f),Sicherheitsanalyse (f)
203,安全性技術,safety technology,"technologie de la securite (f), technique de securite (f)",Sicherheitstechnologie (f)
204,安全性評価［信号の］,safety assessment,evaluation de la securite (f),Sicherheitseinschatzung (f)
205,安全性ライフサイクル,safety lifecycle,cycle de vie de securite (m),Sicherheitslebenszyklus (m)
206,安全側線,safety siding,voie de securite (f),Sicherheitsseitengleis (n)
207,安全風土,safety climate,climat de securite (m),Sicherheitskultur (f)
208,安全文化,safety culture,culture de securite (f),Sicherheitskultur (f)
209,安全弁,safety valve,"clapet de securite (m), soupape de securite (f)",Sicherheitsventil (n)
210,安全リレー,safety relay,relais de securite (m),Sicherheitrelais (n)
211,安全レール,guardrail（米）/check rail（英）,contre-rail de securite (m),"Fuhrungsschiene (f), Leitschiene (f), Radlenker (m), Schutzschiene (f), Sicherheitsschiene (f)"
212,暗騒音,background noise,bruit de fond (m),Hintergrundgerausch (n)
213,アンダーカット［溶接の］,undercut,"affouillement (m), delavage (m), sillon (m), caniveau morsure (m) (f)","Unterspulung (f), Auskolkung (f), Auswaschung (f), Einbrandkerbe (f), Fallkerb (m), Hintrschneidung (f)"
214,アンダーステアー［車両操舵の］,understeer,sous-virage (m),Untersteuerung (f)
215,アンダピニング,underpinning,reprise en sous-oeuvre (f),"Unterfangung (f), Abfangung (f), Unterfangen (n), Untermauerung (f)"
216,アンチクライマー［台枠の］,"anti-climber, anticlimber",protection contre la montee du boudin sur le rail (f),Kletterschutz (m)
217,アンチクリーパー［レールの］,"anti-creeper, rail anchor","anticheminant (m), arret de cheminement (m), dispositif anticheminant (m)",Wanderschutz (m)
218,アンチスキッドブレーキ制御,anti-skid brake control,"commande du frein anti-enrayeur (m), commande du frein anti-blocage (m)","Steuerung der Gleitschutzbremse (f), Antiblockiersystem（n）"
219,アンチローリング装置,anti-rolling device,"dispositif antiroulis (m), dispositif anti-roulis (m)",Wankstutze (f)
220,安定［基礎の］,stability,stabilite (f),"Pfeifsicherheit (f), Stabilitat"
221,安定液［場所打ち杭の］,"clay suspension, slurry","pulpe (f), pate de ciment (f), suspension (f)","Wasser-Erdstoff-Gemisch (n), Fordergemisch (n), Pulpe (f), Schla mme (f), Zementbrei (m), Suspension (f)"
222,安定化材［超電導線の］,stabilizer,"stabilisateur (m), stabilisant [substance] (m)",Stabilisator (m)
223,安定化電源［車載機器の］,"regulated power supply, automatic voltage regulator","Regulateur de Tension Automatique (m), alimentation regulee (f)","Automatischer Spannungsregler (m), geregelte Stromversorgung (f)"
224,安定さび層,stabilized rust layer,couche de rouille stabilisee (f),stabilisierte Rostschicht (f)
225,安定処理［土の］,stabilization,stabilisation (f),"Befestigung (f), Stabilitatverfahren (f)"
226,安定性解析［車両運動の］,analysis of dynamic stability,analyse de la stabilite dynamique (f),Analyse der dynamischen Stabilitat (f)
227,アンテナ共用器,"antenna duplexer, antenna diplexer",duplexeur d’antenne (m),Sendeantennenweiche (f)
228,アンテナ方向損,antenna directional loss,perte directionnelle d’antenne (f),Antennenrichtungsverlust (m)
229,案内脚装置［超電導磁気浮上式鉄道の］,guide gear,dispositif guide (m),Fuhrungsgetriebe (n)
230,案内脚フェアリング,guide gear fairing,carenage guide (m),Fuhrungsgetriebeverkleidung (f)
231,案内車輪［超電導磁気浮上式鉄道の］,guide wheel,roue de guidage (f),"Fuhrungsrad (n), Leitrad (n)"
232,案内車輪走行路［超電導磁気浮上式鉄道の］,guide wheel runway（path）,"chemin de la roue de guidage (m), chemin de roulement de la roue de guidage (m)",Fahrflache der Fuhrungsrader (f)
233,案内ストッパ輪装置［超電導磁気浮上式鉄道の］,guide stopper gear,dispositif d’arret de guide (m),Fuhrungsstopperrad (n)
234,案内電流［超電導磁気浮上式鉄道の］,current for guidance,courant de guidage (m),Fuhrstrom (m)
235,案内羽根,stator,aubages de reaction (mpl),"Leistungsschaufel, Leitschaufelapparat (m)"
236,案内輪［超電導磁気浮上式鉄道の］,guide wheel,roue de guidage (f),"Fuhrungsrad (n), Leitrad (n)"
237,案内輪荷重,guide wheel load,charge de la roue de guidage (f),Fuhrungsradlast (f)
238,アンブロック削正,unblock grinding,deblocage de broyage (m),Schleifblockierung aufheben
239,Amp・km［通信誘導の］,ampere・kilometer,ampere-kilometre (m),Amperekilometer (m)
240,アンペアキロメートル,Amp-km,A-km. (m),Amp-km
241,アンボンド方式［プレストレストコンクリート構造の］,unbonded post tensioning system,systeme de post-tension sans adherence de l’armature (m),nachtragliches Vorspannungssystem ohne Verbund (n)
242,アンローダー,unloader,"by-pass de decharge (m), dispositif de decharge (m), dispositif de dechargement (m)",Entlastungseinrichtung (f)
243,アンローダー電磁弁,unload magnet valve,"electrovanne de decompression (f), electrovanne de surete (f)",Entlastungsmagnetventil (n)
244,アンローダー弁［空気圧縮機の］,unload valve,"soupape de surpression (f), soupape de surete (f)",Entlastungsventil (n)
245,アンロード試験［圧縮機の］,unload test,essai de dechargement (m),Entlastungsversuch (m)
246,AVE［スペインの］,AVE,AVE,AVE
247,EIT［曲線の］,end of intermediate transition curve,fin de la courbe de raccordement (f),Ende der zwischenliegenden Ubergangskurve (n)
248,ERRI,European Rail Research Institute,Institut de recherche de chemin de fer europeen (m),Europaisches Schienenforschungsinstitut (n)
249,ERA,European Railway Agency,Agence ferroviaire europeenne (f),Europaische Eisenbahnagentur (f)
250,ERT［曲線の］,end of reverse transition curve,fin de la courbe de raccordement inverse (f),Ende der umgekehrten Ubergangskurve (n)
251,ERTMS,european railway traffic management system,"systeme europeen de gestion du trafic (m), European Railway Management System (m), ERTMS","europaisches Eisenbahnmanagementsystem (n), European Railway Traffic Management System (n), ERTMS"
252,ERTMS Regional,ERTMS Regional,ERTMS regional (m),ERTMS Regional (n)
253,EA荷重［構造物の］,EA-load,charge EA (f),EA-Belastung (f)
